robot1
td,wD,wI,id,degree,bx,by,id,degree,bx,by
61.6,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,36.4103,0.139322,0.990247
62.3,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.6276,-0.664152,0.747598
63,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.0014,0.888487,0.458902
63.7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
64.4,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.6276,-0.664152,0.747598
65.1,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.471,0.268132,-0.963382
65.8,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
66.5,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
67.2,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.2186,0.226086,0.974107
67.9,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.2186,0.226086,0.974107
68.6,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.2186,0.226086,0.974107
69.3,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.0621,-0.631214,-0.775609
