robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
5360,-5.406708,5.098272,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5400,-5.406708,5.098272,3,-0.273871,0.122796,0.669779,2,-9999.000000,-9999.000000,-9999.000000
5440,-5.406708,5.098272,3,-0.251573,0.126844,0.669733,1,0.506645,0.132385,0.700941
5480,-5.406708,5.098272,3,-0.253251,0.128578,0.674044,1,0.506380,0.134862,0.702579
5520,-0.000000,3.241508,3,-0.252112,0.124882,0.661466,1,0.511330,0.135378,0.714682
5560,0.000000,0.000000,3,-0.252152,0.124715,0.660286,1,0.502091,0.133338,0.705385
5600,0.000000,0.000000,3,-0.252112,0.124882,0.661466,1,0.503176,0.132683,0.704600
5640,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
5680,0.000000,0.000000,3,-0.252112,0.124882,0.661466,1,0.503176,0.132683,0.704600
5720,0.000000,0.000000,3,-0.252112,0.124882,0.661466,1,0.503176,0.132683,0.704600
5760,0.000000,0.000000,3,-0.252112,0.124882,0.661466,1,0.503176,0.132683,0.704600
5800,0.000000,0.000000,3,-0.255729,0.130249,0.657946,1,0.506824,0.141442,0.716830
5840,0.000000,0.000000,3,-0.259772,0.129835,0.682735,2,-9999.000000,-9999.000000,-9999.000000
5880,0.000000,0.000000,3,-0.252366,0.130790,0.669834,1,0.512135,0.139029,0.693101
5920,0.000000,0.000000,3,-0.243052,0.129148,0.660460,2,-9999.000000,-9999.000000,-9999.000000
5960,0.000000,0.000000,3,-0.231619,0.125771,0.644587,1,0.524974,0.136112,0.675154
6000,0.000000,0.000000,3,-0.230727,0.130346,0.664631,2,-9999.000000,-9999.000000,-9999.000000
6040,0.000000,0.000000,3,-0.215305,0.131868,0.665590,2,-9999.000000,-9999.000000,-9999.000000
6080,0.000000,0.000000,3,-0.203731,0.130097,0.656008,2,-9999.000000,-9999.000000,-9999.000000
6120,0.000000,0.000000,3,-0.192312,0.131877,0.650722,2,-9999.000000,-9999.000000,-9999.000000
6160,0.000000,0.000000,3,-0.180984,0.132932,0.648053,2,-9999.000000,-9999.000000,-9999.000000
6200,0.000000,0.000000,3,-0.171950,0.131497,0.652096,2,-9999.000000,-9999.000000,-9999.000000
6240,0.000000,0.000000,3,-0.145809,0.129605,0.625708,2,-9999.000000,-9999.000000,-9999.000000
6280,0.000000,0.000000,3,-0.137921,0.129629,0.620875,2,-9999.000000,-9999.000000,-9999.000000
6320,0.000000,0.000000,3,-0.130953,0.131341,0.621593,2,-9999.000000,-9999.000000,-9999.000000
6360,0.000000,0.000000,3,-0.119295,0.129887,0.603078,2,-9999.000000,-9999.000000,-9999.000000
