robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
3740,10.495354,9.048731,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3760,10.495354,9.048731,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3780,10.458126,9.048731,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3800,10.458126,9.048731,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3820,10.458126,8.822083,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3840,10.269660,8.822083,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3860,10.269660,8.822083,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3880,10.269660,9.079999,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3900,10.269660,9.079999,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
3920,9.910052,9.079999,3,-0.202569,0.150922,1.080058,900,-9999.000000,-9999.000000,-9999.000000
3940,9.771734,9.098416,3,-0.193624,0.150936,1.081222,900,-9999.000000,-9999.000000,-9999.000000
3960,9.771734,9.098416,3,-0.193624,0.150936,1.081222,900,-9999.000000,-9999.000000,-9999.000000
3980,9.771734,9.098416,3,-0.178104,0.145307,1.031685,900,-9999.000000,-9999.000000,-9999.000000
4000,9.771734,9.098416,3,-0.178104,0.145307,1.031685,900,-9999.000000,-9999.000000,-9999.000000
4020,9.467242,9.210507,3,-0.175423,0.152013,1.054053,900,-9999.000000,-9999.000000,-9999.000000
4040,9.467242,9.210507,1,0.626568,0.143584,0.870370,3,-0.168032,0.147974,1.031454
4060,9.467242,9.210507,1,0.626568,0.143584,0.870370,3,-0.168032,0.147974,1.031454
4080,9.266911,9.096703,3,-0.165188,0.147975,1.031759,900,-9999.000000,-9999.000000,-9999.000000
4100,9.266911,9.096703,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4120,9.266911,9.096703,1,0.627072,0.144963,0.842034,3,-0.157913,0.145588,0.986473
4140,9.266911,9.096703,1,0.632021,0.150193,0.837973,3,-0.163246,0.151966,1.005788
4160,9.094069,9.260761,1,0.632021,0.150193,0.837973,3,-0.163246,0.151966,1.005788
4180,8.462357,9.260761,1,0.614395,0.145094,0.812174,900,-9999.000000,-9999.000000,-9999.000000
4200,8.462357,9.260761,1,0.606666,0.140414,0.806035,3,-0.177624,0.147773,0.979728
4220,8.425798,9.722566,1,0.606666,0.140414,0.806035,3,-0.177624,0.147773,0.979728
4240,8.425798,9.722566,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4260,8.282338,9.881361,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4280,8.282338,9.881361,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4300,8.282338,9.881361,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4320,8.282338,9.881361,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4340,7.343999,10.696280,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4360,7.343999,10.696280,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4380,7.343999,10.696280,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4400,7.343999,10.321478,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4420,7.343999,10.321478,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4440,6.498950,9.774928,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4460,6.498950,9.774928,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4480,6.498950,9.774928,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4500,6.498950,9.774928,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4520,6.301804,8.999326,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4540,6.301804,8.999326,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4560,6.301804,8.999326,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
4580,6.301804,8.999326,1,0.328498,0.141952,0.830276,3,-0.453944,0.134152,0.752018
4600,6.301804,8.999326,1,0.328644,0.137269,0.831164,3,-0.451245,0.133194,0.734512
4620,7.084997,7.661713,1,0.328644,0.137269,0.831164,3,-0.451245,0.133194,0.734512
4640,7.084997,7.661713,1,0.332758,0.142768,0.846147,3,-0.464018,0.137071,0.737017
4660,7.084997,7.661713,1,0.332758,0.142768,0.846147,3,-0.464018,0.137071,0.737017
4680,7.084997,7.795045,1,0.321866,0.144041,0.829743,3,-0.466409,0.136692,0.718659
4700,7.084997,7.795045,1,0.308097,0.137787,0.801108,3,-0.461471,0.131408,0.695034
4720,7.222708,7.795045,1,0.308097,0.137787,0.801108,3,-0.461471,0.131408,0.695034
4740,7.222708,8.057997,1,0.311260,0.138153,0.805848,3,-0.468075,0.131155,0.690771
4760,7.222708,8.057997,1,0.311260,0.138153,0.805848,3,-0.468075,0.131155,0.690771
4780,8.362629,8.126504,3,-0.464190,0.132927,0.678315,1,0.313666,0.140197,0.800382
4800,8.362629,8.126504,3,-0.465957,0.134932,0.676208,1,0.314562,0.139277,0.786395
4820,8.362629,8.126504,3,-0.465957,0.134932,0.676208,1,0.314562,0.139277,0.786395
4840,8.878835,8.176445,3,-0.455218,0.130247,0.659836,1,0.325793,0.138771,0.787508
4860,8.878835,8.176445,3,-0.455218,0.130247,0.659836,1,0.325793,0.138771,0.787508
4880,8.878835,8.176445,3,-0.458350,0.130894,0.663441,1,0.325488,0.136122,0.767167
4900,8.878835,8.176445,3,-0.452065,0.131277,0.651815,900,-9999.000000,-9999.000000,-9999.000000
